board_name,board_id,name,position,city,term_end,add_info
Minerals and Environment Board,BoardID=67,Jessica Gruenwald,At Large,Redfield,6/30/2027,
Minerals and Environment Board,BoardID=67,Gary Haag,At Large,Hot Springs,6/30/2026,
Minerals and Environment Board,BoardID=67,Doyle Karpen,At Large,Jefferson,6/30/2028,
Minerals and Environment Board,BoardID=67,Rhett Miller,At large,Sioux Falls,6/30/2028,
Minerals and Environment Board,BoardID=67,Robert Morris,At Large,Belle Fourche,6/30/2026,"Biography:
Not Specified"
Minerals and Environment Board,BoardID=67,Laurie Schultz,Secretary,Pierre,6/30/2027,
"Nursing Facility Administrators, South Dakota State Board for",BoardID=69,"Jason Hanssen, Vice President",Nursing Facility Administrator,Volga,10/30/2026,
"Nursing Facility Administrators, South Dakota State Board for",BoardID=69,Justin Hinker,Nursing Facility Administrator,Sioux Falls,10/30/2026,
"Nursing Facility Administrators, South Dakota State Board for",BoardID=69,Marilyn Kinsman,Public Member,Pierre,10/30/2027,
"Nursing Facility Administrators, South Dakota State Board for",BoardID=69,"Daryl Reinicke, Secretary",Nursing Facility Administrator,Rapid City,10/30/2027,
"Nursing Facility Administrators, South Dakota State Board for",BoardID=69,Laura Wilson,Nursing Facility Administrator,Marion,10/30/2026,
"Nursing, South Dakota Board of",BoardID=68,Deborah Bowar,LPN,Redfield,10/30/2027,
"Nursing, South Dakota Board of",BoardID=68,Denise Buchholz,RN,Philip,10/30/2026,
"Nursing, South Dakota Board of",BoardID=68,Debra Felton,Public Member,Sioux Falls,10/30/2027,
"Nursing, South Dakota Board of",BoardID=68,Jeanne Goodman,Public Member,Pierre,10/30/2028,
"Nursing, South Dakota Board of",BoardID=68,Nathan Hinker,APRN,Corsica,10/30/2027,
"Nursing, South Dakota Board of",BoardID=68,"Carena Jarding, Secretary",LPN Educator,Alexandria,10/30/2026,
"Nursing, South Dakota Board of",BoardID=68,"Christi Keffeler, President",RN Practice,Sturgis,10/30/2028,
"Nursing, South Dakota Board of",BoardID=68,"Lori Koenecke, Vice President",RN,Pierre,10/30/2027,
"Nursing, South Dakota Board of",BoardID=68,Cheryl Osmond,RN,Sioux Falls,10/30/2028,
"Nursing, South Dakota Board of",BoardID=68,Penelyn Tilton,RN Nurse Educator,Mt. Vernon,10/30/2026,
"Nursing, South Dakota Board of",BoardID=68,Jenna VandenBos,LPN,Sioux Falls,10/30/2026,
Nutrient Research and Education Council (NREC),BoardID=176,Kevin Bachmeier,Fertilizer Industry,"Apple Valley, MN",6/30/2027,
Nutrient Research and Education Council (NREC),BoardID=176,"John Blanton, PhD","SD Agricultural Experiment Station, SDSU, Non-Voting","Brookings, SD",,
Nutrient Research and Education Council (NREC),BoardID=176,Tom Gere,"SD Department of Agriculture & Natural Resources, Non-Voting","Pierre, SD",,
Nutrient Research and Education Council (NREC),BoardID=176,Kyle Gustafson,Certified Agronomy Association,"Volga, SD",6/30/2026,
Nutrient Research and Education Council (NREC),BoardID=176,Bruce Haines,"Farmer, Member of the State Conservation Commission","Mitchell, SD",6/30/2027,
Nutrient Research and Education Council (NREC),BoardID=176,"Jim Loken, PhD",Fertilizer Industry,"Wahpeton, ND",6/30/2028,"Biography:
•BS from North Dakota State University
•MS and PhD from North Dakota State University in Plant Sciences
•Current Position: Helena Agri-Enterprises Product Manager (7 years)
•Peer-reviewed publications
"
Nutrient Research and Education Council (NREC),BoardID=176,Candice Mizera,"Environmental Association, Non-voting",McLaughlin,6/30/2027,
Nutrient Research and Education Council (NREC),BoardID=176,Colin Nachtigal,Grower Organization,"Harrold, SD",6/30/2026,
Nutrient Research and Education Council (NREC),BoardID=176,Jerry Runia,Grower Organization,"Centerville, SD",6/30/2028,
Nutrient Research and Education Council (NREC),BoardID=176,Ryan Schuchhardt,Fertilizer Industry,"Huron, SD",6/30/2026,
Nutrient Research and Education Council (NREC),BoardID=176,George Sperry,"Environmental Association, Non-voting","Blunt, SD",6/30/2028,
Nutrient Research and Education Council (NREC),BoardID=176,Travis Strasser,Commodity Organization,"Wilmot, SD",6/30/2026,
Nutrient Research and Education Council (NREC),BoardID=176,Paul Wegleitner,"SD Department of Agriculture & Natural Resources, Non-Voting","Pierre, SD",,
Nutrient Research and Education Council (NREC),BoardID=176,Ryan Wolf,Specialty Fertilizer,"Sheldon, IA",6/30/2028,"Biography:
Ryan Wolf’s career has focused on agronomic issues in the Upper Midwest. For the past fifteen years, Ryan has worked for WinField United. He currently is an Agronomy Services Manager, managing the western half of the United States WinField United’s’ Agronomists. Ryan also continues to cover parts of South Dakota for WinField United as a Regional Agronomist. Ryan spends time training agronomists, growers, and applicators on all aspects of crop production but specializes in plant nutrition and weed control. During the growing season, Ryan plans, coordinates, and presents at WinField United’s’ Answer Plots. He also provides technical and sales support for WinField United. 


Ryan earned his M.S. in Weed Science from South Dakota State University in 1998. He holds a B.S. in Plant Science also from South Dakota State University. 
"
Oilseeds Council,BoardID=173,Shannon DePoy,Director,Lantry,10/31/2025,
Oilseeds Council,BoardID=173,Lance Hourigan,Director,Lemmon,10/31/2025,
Oilseeds Council,BoardID=173,Kei Oberlander,Vice President,Box Elder,6/30/2027,
Oilseeds Council,BoardID=173,Ryan Olson,Director,Pierre,10/31/2025,
Oilseeds Council,BoardID=173,Charles Todd,President,Onida,12/10/2026,
One Call Board,BoardID=71,Steve Barnett,Rural Electric Cooperative,Pierre,10/31/2025,
One Call Board,BoardID=71,Ryan Barr,Community Antenna Television Systems,Aberdeen,10/31/2025,
One Call Board,BoardID=71,Loren Beld,Excavating Contractors,Hazel,10/31/2026,
One Call Board,BoardID=71,Kay Braaten,Underground Gas or Petroleum,Aberdeen,10/31/2025,
One Call Board,BoardID=71,Mark Meier,Municipalities,Watertown,10/31/2027,"Biography:
Not Specified"
One Call Board,BoardID=71,Lloyd Rave,Rural Water Systems,Dell Rapids,10/31/2027,
One Call Board,BoardID=71,Jim Scull,Contractor / Excavation Services,Rapid City,10/31/2025,"Biography:
Not Specified"
One Call Board,BoardID=71,Jacob VanDewater,"Telecommunications with 50,000 Customers Or Less",Sioux Falls,10/31/2025,
One Call Board,BoardID=71,James Wedin,"Telecommunications with 50,000 Customers Or More",Pierre,10/31/2027,
One Call Board,BoardID=71,Bradley Wenande,Investor Owned Natural Gas Companies,Yankton,10/31/2026,
One Call Board,BoardID=71,Scott Wiese,Investor Owned Electric Utilities,Milbank,10/31/2027,
Open Meetings Commission,BoardID=218,Austin Hoffman,McPherson County State's Attorney,,,
Open Meetings Commission,BoardID=218,Katelynn Hoffman,Turner County State's Attorney,,,
Open Meetings Commission,BoardID=218,Lance Russell,Fall River/Oglala Lakota County State's Attorney,,,
Open Meetings Commission,BoardID=218,Michael Smith,Clay County State's Attorney (Chair),,,
Open Meetings Commission,BoardID=218,Emily Sovell,Sully County State's Attorney,,,
"Operator Certification, South Dakota Board of",BoardID=187,Ryan Allen,Certified Water/Wastewater Operator,Dell Rapids,6/1/2026,
"Operator Certification, South Dakota Board of",BoardID=187,Craig Mitchell,Certified Water/Wastewater Operator,Watertown,6/1/2027,
"Operator Certification, South Dakota Board of",BoardID=187,Bill Sarringar,Chair - Certified Water/Wastewater Operator,Pierre,6/1/2027,
"Operator Certification, South Dakota Board of",BoardID=187,Chris Schmit,Faculty Member,Brookings,6/1/2028,
"Operator Certification, South Dakota Board of",BoardID=187,Dave Van Cleave,Certified Water/Wastewater Operator,Rapid City,6/1/2026,
"Operator Certification, South Dakota Board of",BoardID=187,Craig Wagner,Public Works Director,Hartford,6/1/2028,
"Optometry, State Board of Examiners in",BoardID=70,Jamie Farmen,Public Member,Pierre,6/30/2027,
"Optometry, State Board of Examiners in",BoardID=70,"Brian Gill, Vice President",Optometrist,Spearfish,6/30/2027,
"Optometry, State Board of Examiners in",BoardID=70,Shane Hartman,Optometrist,Sioux Falls,6/30/2027,
"Optometry, State Board of Examiners in",BoardID=70,"Angela Hase, President",Optometrist,Aberdeen,6/30/2028,
"Optometry, State Board of Examiners in",BoardID=70,Scott Schirber,Optometrist,Rapid City,6/30/2025,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Terry Dosch,Council of Mental Health Centers,Pierre,,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Betsy Doyle,Minnehaha Co Public Defender,Sioux Falls,,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Linda Duba,State Representative,Sioux Falls,,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Cindy Heiberger,Minnehaha Co Commissioner,Hartford,,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Melissa Klemann,Governor's Appointee,,,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Carmen Means,Circuit Court Judge,Watertown,,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Mike Milstead,Minnehaha County Sheriff,Sioux Falls,,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Reynold Nesiba,State Senator,Sioux Falls,,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Shane Penfield,Perkins Co State's Attorney,Lemmon,,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Tim Reed,State Representative,Brookings,,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Arthur Rusch,State Senator,Vermillion,,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Greg Sattizahn,State Court Administrator,Pierre,,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Dr. Thomas Stanage,Lewis & Clark Behavioral Health,Yankton,,
Oversight Council for Improving Criminal Justice Responses for Persons with Mental Illness,BoardID=196,Tiffany Wolfgang,Director of Behavioral Health,Sioux Falls,,
"Pardons and Paroles, Board of",BoardID=74,Kirsten Aasen,Member- Attorney,Rapid City,1/15/2029,"Biography:
Ms. Aasen has been practicing law in the Black Hills since 2007, after a 20-plus-year career as a business lawyer on the East Coast. She previously served as a Commissioner for the South Dakota State Bar and been on the boards of various charitable organizations in Rapid City."
"Pardons and Paroles, Board of",BoardID=74,Vaughn Beck,Member-Attorney,Ipswich,1/18/2027,"Biography:
Mr. Beck served at the Northern Hills Public Defenders Office in 1992 and started Beck Law Office, a private law practice in Ipswich, South Dakota, in 1993. In addition to his law practice he currently serves as the State’s Attorney for Edmunds and Walworth County. He has served as State’s Attorney for 21 years."
"Pardons and Paroles, Board of",BoardID=74,John Brown,Member- Retired Judge,Rapid City,1/17/2028,"Biography:
John L. Brown was a judge for the Sixth Judicial Circuit in South Dakota. He was appointed to the seat in 2008. He was appointed presiding judge in August 2011, following the elevation of Lori Wilbur to the South Dakota Supreme Court where he served until his retirement from the court in 2021.

"
"Pardons and Paroles, Board of",BoardID=74,Kurt Hall,Member,Faulkton,1/19/2026,"Biography:
Hall is a native of Ree Heights, S.D. and has been the Faulk County Sheriff since 2004. Prior to that he served 6 years as the Hand County Sheriff. He also served as the President of the South Dakota Sheriff’s Association in 2013. Hall was instrumental in the construction of a new jail facility in Faulk County which opened in 2017, providing 35 beds for inmates from surrounding counties as well as federal prisoners.
-Cited from the office of the South Dakota Attorney General webpage. 
"
"Pardons and Paroles, Board of",BoardID=74,Peter Lieberman,Member- Retired Judge,Sioux Falls,1/17/2028,"Biography:
Mr. Lieberman Grew up in NY state, attended law school in SD, fell in love with The Plains and the Black Hills and never left SD. Mr. Lieberman clerked for the SD Supreme Court, was an assistant attorney general under then A.G. Bill Janklow, appointed by the SD Supreme Court to serve as a magistrate judge in the 2nd judicial circuit, appointed by Gov. Janklow to the circuit bench, re-elected twice by the citizens of the 2nd circuit, served 35 years as a judge, specializing in criminal court cases, taught trial tactics and procedure at the USD Law School. Not only did he fall in love with this part of America, he fell in love with a woman from Sioux Falls and they have been together for forty years. Between doing work that meant something, having a few good and true friends, and spending the majority of his life with a woman that he loves he feels very fortunate."
"Pardons and Paroles, Board of",BoardID=74,Patricia Meyers,Member- Attorney,Rapid City,3/28/2027,"Biography:
Mrs. Meyers, previously served on the South Dakota Board of Pardons and Paroles from 2008-2012. Mrs. Meyers has practiced litigation in the area of insurance defense and has also practiced family law. Mrs. Meyers served on the State Bar Disciplinary Committee for six years, Mrs. Myers was re-appointed to the SD Board of Paroles on December 19th, 2022."
"Pardons and Paroles, Board of",BoardID=74,Myron Rau,Member,Sioux Falls,1/15/2029,"Biography:
After a distinguished 26-year career with the South Dakota Highway Patrol, Myron was hired to manage the South Dakota Trucking Association and the South Dakota Automobile Dealers Association. For 21 years he served as President of these two nonprofit trade associations. Throughout Myron’s professional career, he has been regarded as one who understands how the South Dakota Code is written and how that code is best interpreted for practical use by citizens and law enforcement. These traits are best demonstrated by the credibility and relationships he has developed with Lobbyists and South Dakota Legislators during his 31 years of serving as both a public and private lobbyist. As an additional service to the state, in November of 2014, Myron was appointed to serve as a member of the South Dakota Board of Pardons and Paroles where he currently serves as Chairman."
"Pardons and Paroles, Board of",BoardID=74,Jan Steele,Member,Gary,1/17/2028,"Biography:
Jan Steele first began a career in hospital nursing, then transitioned to mental health nursing at the Human Service Agency in Watertown from 1981 to 1987. From June of 1988 to the present day, Jan has been Codington County's Victim Witness Coordinator through the State's Attorney's Office. In the early years as Victim Witness Coordinator, from 1992-2000, Jan taught at 
the Law Enforcement Training Center in Pierre, revising a curriculum for a class entitled, ""Mental Illnesses: the Law Enforcement Response"" and Victim/Witness Assistance, providing law enforcement basic training. instruction on the role of a Victim/Witness Assistant. Jan served as a local coordinator in Watertown for the Widowed Persons Service, a training group for volunteers visiting the newly widowed, serving in that volunteer capacity while a nurse at the Human Service Agency. Jan also served on the Lake Area Child Protection Team, Boys & Girls Club, and Watertown Area Council for Aging, and was a volunteer singer/"
"Pharmacy, State Board of",BoardID=76,Shane Clarambeau,Pharmacist,Ft. Pierre,10/1/2026,
"Pharmacy, State Board of",BoardID=76,"Ashley Hansen, President",Pharmacist,Aberdeen,10/1/2026,
"Pharmacy, State Board of",BoardID=76,Cheri Kraemer,Pharmacist,Sioux Falls,10/1/2028,
"Pharmacy, State Board of",BoardID=76,Tom Nelson,Public Member,Spearfish,10/1/2027,
"Pharmacy, State Board of",BoardID=76,"Curt Rising, Vice President",Pharmacist,Rapid City,10/1/2027,
"Plumbing Commission, State of South Dakota",BoardID=77,James Bailey,Dept. of Heath Representative,Sioux Falls,4/14/2027,
"Plumbing Commission, State of South Dakota",BoardID=77,Brian Cooper,Lay Member,Sioux Falls,4/14/2027,
"Plumbing Commission, State of South Dakota",BoardID=77,Jonathan Kist,Plumber,Pierre,4/14/2026,
"Plumbing Commission, State of South Dakota",BoardID=77,Jeffrey Leuning,Lay Member,Ethan,4/14/2026,
"Plumbing Commission, State of South Dakota",BoardID=77,Duane Levanen,Plumbing Contractor,Bryant,4/14/2023,
"Podiatry Examiners, State Board of",BoardID=78,Jeanie Blair,Public member,Sturgis,10/30/2027,
"Podiatry Examiners, State Board of",BoardID=78,Rylan Johnson,Podiatrist,Rapid City,10/30/2026,
"Podiatry Examiners, State Board of",BoardID=78,"James Johnston, Secretary",Podiatrist,Aberdeen,10/31/2026,
"Podiatry Examiners, State Board of",BoardID=78,Adam Nichols,Podiatrist,Sioux Falls,10/30/2026,
"Podiatry Examiners, State Board of",BoardID=78,"Scott Torness, President",Podiatrist,Watertown,10/30/2027,
Professional Administrators Practices and Standards Commission,BoardID=80,Peter Books,Superintendent,Brookings,12/31/2027,"Biography:
Original appointment date: 4/28/2022.
Reappointment Date: 1/22/2025
"
Professional Administrators Practices and Standards Commission,BoardID=80,Jennifer Conway,Business Manager,Sioux Falls,12/31/2025,"Biography:
Appt Date: 7/25/2025"
Professional Administrators Practices and Standards Commission,BoardID=80,Dana Felderman,Superintendent,Madison,12/31/2027,"Biography:
Appointed: January 21, 2025"
Professional Administrators Practices and Standards Commission,BoardID=80,Linda Kirchhevel,School Board Member,Harrisburg,12/31/2027,"Biography:
Original appointment date: 4/28/2022
Reappointment Date: 7/25/2025"
Professional Administrators Practices and Standards Commission,BoardID=80,Jacquelyn Miskimins,PARENT,Mitchell,1/23/2028,"Biography:
Appt Date: 6/26/2025"
Professional Administrators Practices and Standards Commission,BoardID=80,Kent Van Overschelde,Principal,Mitchell,12/31/2029,"Biography:
Appt Date: 7/25/2025"
Professional Administrators Practices and Standards Commission,BoardID=80,Camrin Vaux,Principal,Brookings,12/31/2025,"Biography:
Appointed: January 23, 2025"
Professional Teachers Practices and Standards Commission,BoardID=79,Nicole Bowman,Teacher,Pierre,12/31/2027,"Biography:
Original appointment date: April 28, 2022.
Reappointed date: January 7, 2025"
Professional Teachers Practices and Standards Commission,BoardID=79,Caitlyn Graf,Teacher,Milbank,12/31/2027,"Biography:
Appointment Date: January 8, 2025"
Professional Teachers Practices and Standards Commission,BoardID=79,Alesha Limbo,Parent,Spearfish,12/31/2025,"Biography:
Original appointment date: 4/28/2022 
Reappointment date: 3/25/2024"
Professional Teachers Practices and Standards Commission,BoardID=79,Crystal McMachen,Classroom Teacher,Rapid City,12/31/2024,"Biography:
Original appointment date: 12/17/2018. 
Reappointment Date 4/28/2022"
Professional Teachers Practices and Standards Commission,BoardID=79,Joy Robbins,Classroom Teacher,Watertown,12/31/2025,"Biography:
Original appointment date: October 15, 2019. 
Reappointed date: January 8, 2025"
Professional Teachers Practices and Standards Commission,BoardID=79,Christine Saltsman,Teacher,Gettysburg,12/31/2025,"Biography:
Appointment Date: January 8, 2025"
Professional Teachers Practices and Standards Commission,BoardID=79,Kaye Wickard,Classroom Teacher,Mina,12/31/2025,"Biography:
Original appointment date: 7/25/2017.
Reappointment Date: 4/2/2024"
Project Prison Reset,BoardID=11772,Jason Foote,Member,"Yankton, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Daniel Haggar,Member,"Sioux Falls, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Jon Hansen,Member,"Dell Rapids, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Erin Healy,Member,"Sioux Falls, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Joy Hohn,Member,"Hartford, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Marty Jackley,Member,"Pierre, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Greg Jamison,Member,"Sioux Falls, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Chris Karr,Member,"Sioux Falls, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Jack Kolbeck,Member,"Sioux Falls, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Steve Kolbeck,Member,"Brandon, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Mark Lapka,Member,"Leola, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Karla Lems,Member,"Canton, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Jim Mehlhaff,Member,"Pierre, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Mike Milstead,Member,"Sioux Falls, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Brian Mulder,Member,"Sioux Falls, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Scott Odenbach,Member,"Spearfish, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Ernie Otten,Member,"Tea, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Tim Reisch,Member,"Howard, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Jamie Smith,Member,"Sioux Falls, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Tony Venhuizen,Chair,"Sioux Falls, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Jane Wipf Pfeifle,Member,"Rapid City, SD",1/1/2026,
Project Prison Reset,BoardID=11772,Tiffany Wolfgang,Member,"Sioux Falls, SD",1/1/2026,
"Psychologists Examiners, Board of",BoardID=81,Justine Ashokar,Psychologist Ph.D.,Rapid City,12/30/2027,
"Psychologists Examiners, Board of",BoardID=81,Rosalie Ball,Psychologist Ph.D.,Bath,10/30/2026,
"Psychologists Examiners, Board of",BoardID=81,Dr. Matthew Christiansen,Psychologist Ph.D.,Mitchell,10/30/2025,"Biography:
Not Specified"
"Psychologists Examiners, Board of",BoardID=81,Terrance Dosch,Lay Member,Pierre,10/30/2026,
"Psychologists Examiners, Board of",BoardID=81,Dr. Trisha Miller,Psychologist Ph.D.,Rapid City,10/30/2025,"Biography:
Not Specified"
"Psychologists Examiners, Board of",BoardID=81,Brian Roegiers,Lay Member,Sioux Falls,10/30/2026,
"Psychologists Examiners, Board of",BoardID=81,Dr. Thomas Stanage,Psychologist Ph.D.,Yankton,10/30/2026,
Public Deposit Protection Commission,BoardID=199,Bret Afdahl,Director of Banking,Pierre,,
Public Deposit Protection Commission,BoardID=199,Josh Haeder,South Dakota State Treasurer,Pierre,,
Public Safety Communications Council,BoardID=24,Brian Wacholz,South Dakota Department of Transportation (DOT),Pierre,,"Biography:
Not Specified"
Public Safety Communications Council,BoardID=24,Andy Barth,Federal Government,Rapid City,6/30/2027,"Biography:
US Forestry Service, Black Hills"
Public Safety Communications Council,BoardID=24,Ray Black,Wildland Fire Division,Rapid City,,"Biography:
Not Specified"
Public Safety Communications Council,BoardID=24,Danielle Daak,South Dakota Department of Health Representative,Pierre,,"Biography:
Not Specified"
Public Safety Communications Council,BoardID=24,Randy Diebert,SD Senate,Spearfish,6/30/2027,"Biography:
Senate representative"
Public Safety Communications Council,BoardID=24,David Goodwin,South Dakota National Guard,Rapid City,,"Biography:
Not Specified"
Public Safety Communications Council,BoardID=24,Kade Haley,South Dakota Association of County Commissioners,Clear Lake,6/30/2027,"Biography:
Deuel County Commissioner"
Public Safety Communications Council,BoardID=24,Pat Harrington,Emergency Management Representative,Armour,6/30/2026,"Biography:
Douglas County Emergency Manager"
Public Safety Communications Council,BoardID=24,Jason Husby,911 Coordinator,Pierre,,"Biography:
State 911 Coordinator"
Public Safety Communications Council,BoardID=24,Charlie Kludt,South Dakota Fire Fighters Association,Viborg,6/30/2027,"Biography:
President, SD Firefighters"
Public Safety Communications Council,BoardID=24,Bruce Nachtigall,"Game, Fish and Parks (GFP)",Rapid City,,"Biography:
Not Specified"
Public Safety Communications Council,BoardID=24,Trent Nincehelser,Bureau of Information & Telecommunications (BIT),Pierre,,"Biography:
Not Specified"
Public Safety Communications Council,BoardID=24,Jacob Parsons,South Dakota Association of Healthcare Organizations,Sioux Falls,6/30/2027,"Biography:
Not Specified"
Public Safety Communications Council,BoardID=24,Preston Patterson,Division of Criminal Investigation (DCI),Pierre,,"Biography:
Not Specified"
Public Safety Communications Council,BoardID=24,Micheal Peterson,South Dakota Department of Public Safety,Pierre,,"Biography:
Not Specified"
Public Safety Communications Council,BoardID=24,Robert Rendon,South Dakota Emergency Medical Technicians Association,Rapid City,6/30/2027,"Biography:
EMS Association and employee of Rapid City Fire Department"
Public Safety Communications Council,BoardID=24,Mary Shoemaker,South Dakota APCO/NENA Chapter,Rapid City,6/30/2025,"Biography:
Not Specified"
Public Safety Communications Council,BoardID=24,Steve Swenson,South Dakota Sheriff's Association,Canton,6/30/2027,"Biography:
Lincoln County Sherrif"
Public Safety Communications Council,BoardID=24,Thomas Thompson,Tribal Government,Ft. Thompson,6/30/2027,"Biography:
Crow Creek Sioux Ambulance"
Public Safety Communications Council,BoardID=24,Kevin Van Diepen,SD House of Representatives,Huron,,"Biography:
SD Legislator"
Public Safety Communications Council,BoardID=24,Jeremy Wellnitz,Police Chiefs Association,Clark,6/30/2027,"Biography:
Pierre Police Chief"
Public Utilities Commission,BoardID=213,Kristie Fiegen,Vice Chairperson,,1/6/2031,"Biography:
Kristie Fiegen was appointed to the PUC by Gov. Dennis Daugaard on Aug. 9, 2011, to fill a vacancy on the commission. Kristie was then elected to the commission in November 2012 and re-elected in November 2018. She has served as chairperson of the PUC in 2017, 2018 and 2023 and vice chairperson in 2012, 2015, 2016, 2021 and 2022. She is a member of the National Association of Regulatory Utility Commissioners’ Committee on Gas and Subcommittee on Pipeline Safety and holds leadership positions in the Southwest Power Pool regional transmission organization. Kristie provides guidance related to the interests of the public and gas consumers to the Gas Technology Institute as a member of GTI’s Public Interest Advisory Committee."
Public Utilities Commission,BoardID=213,Gary Hanson,Commissioner,,1/4/2027,"Biography:
Gary Hanson currently serves as vice chairman of the South Dakota Public Utilities Commission. He was elected to the PUC in 2002 and re-elected in November 2008, November 2014 and November 2020. He served as the commission's chairman in 2005, 2008, 2011, 2013, 2014, 2019 and 2020. Gary represents South Dakota on the National Association of Regulatory Utility Commissioners' Committee on Electricity. He has been the president of the Mid-America Regulatory Conference, represented the nation's NARUC commissioners on the steering committee of the National Wind Coordinating Collaborative and is a member of the Advisory Council for New Mexico State University's Center for Public Utilities. He served on the board of the Organization of MISO States for 20 years, including stints as treasurer and on the executive committee.
"
Public Utilities Commission,BoardID=213,Chris Nelson,Chairman,,1/2/2029,"Biography:
Chris Nelson was appointed Jan. 8, 2011, by Gov. Dennis Daugaard to fill a vacancy on the commission and was elected by South Dakota voters in November 2012 to continue his service for the remaining four years of the term. He was re-elected to a full term in November 2016, garnering the highest electoral percentage ever for a contested statewide race, and was again re-elected by a statewide vote in 2022. Chris served as the PUC's chairman in 2012, 2015, 2016 2021 and 2022 and as vice chairman in 2011, 2013, 2014, 2019 and 2020. He is a member of the National Association of Regulatory Utility Commissioners serving on its Board of Directors, co-chairing the Washington Action Program, is a member of its Investment Committee and is a past chairman of its Committee on Telecommunications. Chris represents South Dakota as a board member for the Organization of MISO States."
"Pulse Crop Council, SD",BoardID=172,Tyrel Eisenbraun,,"Wall, SD",6/30/2025,
"Pulse Crop Council, SD",BoardID=172,Kip Erickson,Chair,"Platte, SD",6/30/2025,"Biography:
Current producer of pulse crops in South Dakota."
"Pulse Crop Council, SD",BoardID=172,Fred Foland,,"Midland, SD",8/16/2027,
"Pulse Crop Council, SD",BoardID=172,Benson Kleinschmidt,,"Harrold, SD",6/30/2026,"Biography:
Farmer, rancher."
"Railroad Board and Railroad Authority, South Dakota State",BoardID=88,VACANT,Marketing,,,
"Railroad Board and Railroad Authority, South Dakota State",BoardID=88,Jeffrey Burket,Chairman / Finance,Spearfish,10/30/2026,"Biography:
Appointed 2014. Jeff Burket is a director of operations at Minerals Technology, Inc., where he manages bentonite mining operations for the United States including safety, logistics and P&L. Jeff is a native of South Dakota and has been in the mining and logistics industries with 20+ years experience. A graduate of the University of South Dakota, Vermillion, with a degree in Accounting. He currently calls Spearfish home."
"Railroad Board and Railroad Authority, South Dakota State",BoardID=88,Gregory Carmon,Operator of Rail Service,Brandon,10/30/2028,"Biography:
Appointed 2018. A farm kid from DeSmet, Greg Carmon started his career in the railroad business working at General Electric Railcar Repair. Achieving inspector status gave him an excellent understanding of railcar repair and when an opportunity to buy a small outdoor railcar repair shop in Sioux Falls presented itself, he took the leap and began Midwest Railcar Repair. In 1999, Greg built a state-of-the-art repair shop in Brandon. Greg also owns two railcar leasing businesses, Carmath and M&C Leasing. Greg has served on the Brandon Chamber of Commerce as well as assisted in developing the Brandon Community Foundation and served on its board. He has served on Forward Sioux Falls and on the Sioux Falls Community Foundation Board, chairing the SFACF Grant’s Committee, and he serves on the Build Dakota Board. He also serves as leadership of Brandon’s Celebration United Methodist Church. Greg is a husband, father, and grandfather who loves to spend time at his lake home fishing and hunting."
